session_id,student_id,subject,planned_min,completed_min,start_hour,abandoned,week_no
ses_00001,stu_0001,tarih,45,37,11,true,1
ses_00002,stu_0001,fen,30,20,12,true,2
ses_00003,stu_0001,ingilizce,25,22,12,false,3
ses_00004,stu_0001,fizik,25,21,9,true,4
ses_00005,stu_0001,tarih,40,26,18,true,1
ses_00006,stu_0001,fizik,30,26,16,false,2
ses_00007,stu_0001,tarih,25,17,12,true,3
ses_00008,stu_0001,tarih,50,37,22,true,4
ses_00009,stu_0002,ingilizce,25,23,22,false,1
ses_00010,stu_0002,tarih,25,24,8,false,2
ses_00011,stu_0002,kimya,30,19,16,true,3
ses_00012,stu_0002,tarih,40,31,18,true,4
ses_00013,stu_0002,ingilizce,50,34,11,true,1
ses_00014,stu_0002,ingilizce,45,31,17,true,2
ses_00015,stu_0002,matematik,25,15,18,true,3
ses_00016,stu_0002,tarih,40,31,10,true,4
ses_00017,stu_0003,ingilizce,50,31,19,true,1
ses_00018,stu_0003,kimya,30,18,16,true,2
ses_00019,stu_0003,matematik,25,21,17,true,3
ses_00020,stu_0003,ingilizce,25,9,17,true,4
ses_00021,stu_0003,fen,40,30,11,true,1
ses_00022,stu_0003,matematik,45,38,8,true,2
ses_00023,stu_0003,fen,40,38,10,false,3
ses_00024,stu_0003,ingilizce,40,23,19,true,4
ses_00025,stu_0004,fizik,30,13,12,true,1
ses_00026,stu_0004,fizik,30,11,22,true,2
ses_00027,stu_0004,turkce,30,5,14,true,3
ses_00028,stu_0004,kimya,40,9,8,true,4
ses_00029,stu_0004,kimya,50,22,14,true,1
ses_00030,stu_0004,kimya,45,7,10,true,2
ses_00031,stu_0004,fizik,30,7,20,true,3
ses_00032,stu_0004,tarih,30,14,11,true,4
ses_00033,stu_0005,turkce,25,22,12,false,1
ses_00034,stu_0005,ingilizce,30,22,18,true,2
ses_00035,stu_0005,fen,40,34,17,false,3
ses_00036,stu_0005,ingilizce,45,0,12,true,4
ses_00037,stu_0005,turkce,45,39,14,false,1
ses_00038,stu_0005,fen,50,46,14,false,2
ses_00039,stu_0005,fizik,45,34,13,true,3
ses_00040,stu_0005,fizik,25,0,10,true,4
