event_id,session_id,student_id,app_category,duration_sec,in_focus_block,is_distractor,notify_flag,week_no
ph_00001,ses_00001,stu_0001,video,343,true,true,false,1
ph_00002,ses_00002,stu_0001,social,952,true,true,true,2
ph_00003,ses_00003,stu_0001,social,480,true,true,false,3
ph_00004,ses_00003,stu_0001,video,796,true,true,true,3
ph_00005,ses_00004,stu_0001,communication,884,true,false,false,4
ph_00006,ses_00005,stu_0001,social,1139,true,true,true,1
ph_00007,ses_00005,stu_0001,social,1346,true,true,true,1
ph_00008,ses_00005,stu_0001,social,1255,true,true,true,1
ph_00009,ses_00006,stu_0001,social,212,true,true,false,2
ph_00010,ses_00007,stu_0001,social,1258,true,true,true,3
ph_00011,ses_00007,stu_0001,game,1362,true,true,true,3
ph_00012,ses_00007,stu_0001,game,449,true,true,false,3
ph_00013,ses_00008,stu_0001,game,273,true,true,false,4
ph_00014,ses_00009,stu_0002,game,1380,true,true,true,1
ph_00015,ses_00009,stu_0002,social,1156,true,true,true,1
ph_00016,ses_00009,stu_0002,game,180,true,true,false,1
ph_00017,ses_00010,stu_0002,social,426,true,true,false,2
ph_00018,ses_00010,stu_0002,other,267,true,false,false,2
ph_00019,ses_00011,stu_0002,social,720,true,true,true,3
ph_00020,ses_00011,stu_0002,game,396,true,true,false,3
ph_00021,ses_00011,stu_0002,video,919,true,true,true,3
ph_00022,ses_00012,stu_0002,social,1202,true,true,true,4
ph_00023,ses_00013,stu_0002,social,249,true,true,false,1
ph_00024,ses_00013,stu_0002,communication,885,true,false,false,1
ph_00025,ses_00013,stu_0002,video,1340,true,true,true,1
ph_00026,ses_00014,stu_0002,social,279,true,true,false,2
ph_00027,ses_00014,stu_0002,game,1346,true,true,true,2
ph_00028,ses_00015,stu_0002,social,743,true,true,true,3
ph_00029,ses_00016,stu_0002,game,1062,true,true,true,4
ph_00030,ses_00017,stu_0003,education,500,true,false,false,1
ph_00031,ses_00019,stu_0003,communication,156,true,false,false,3
ph_00032,ses_00020,stu_0003,other,134,true,false,false,4
ph_00033,ses_00021,stu_0003,video,414,true,true,false,1
ph_00034,ses_00022,stu_0003,education,289,true,false,false,2
ph_00035,ses_00023,stu_0003,social,456,true,true,false,3
ph_00036,ses_00024,stu_0003,communication,183,true,false,false,4
ph_00037,ses_00025,stu_0004,social,68,true,true,false,1
ph_00038,ses_00028,stu_0004,communication,482,true,false,false,4
ph_00039,ses_00029,stu_0004,social,439,true,true,false,1
ph_00040,ses_00030,stu_0004,other,440,true,false,false,2
ph_00041,ses_00031,stu_0004,communication,469,true,false,false,3
ph_00042,ses_00032,stu_0004,communication,146,true,false,false,4
ph_00043,ses_00038,stu_0005,communication,340,true,false,false,2
ph_00044,ses_00039,stu_0005,communication,437,true,false,false,3
ph_00045,ses_00041,stu_0006,social,157,true,true,false,1
ph_00046,ses_00042,stu_0006,education,192,true,false,false,2
