student_id,exam_track,age_band,chronotype,segment_label,risk_prior
stu_0001,LGS,15-17,evening,telefonla_dagilan,0.598
stu_0002,YKS,18+,morning,telefonla_dagilan,0.654
stu_0003,LGS,13-14,morning,kaygiyla_erteleyen,0.45
stu_0004,LGS,15-17,mixed,yarida_birakan,0.497
stu_0005,YKS,15-17,evening,kaygiyla_erteleyen,0.659
stu_0006,LGS,13-14,morning,kaygiyla_erteleyen,0.407
stu_0007,LGS,13-14,morning,telefonla_dagilan,0.609
stu_0008,LGS,13-14,morning,telefonla_dagilan,0.788
stu_0009,YKS,18+,evening,telefonla_dagilan,0.78
stu_0010,YKS,15-17,evening,telefonla_dagilan,0.721
stu_0011,LGS,15-17,mixed,yarida_birakan,0.599
stu_0012,YKS,18+,mixed,telefonla_dagilan,0.791
stu_0013,LGS,13-14,evening,telefonla_dagilan,0.831
stu_0014,YKS,15-17,morning,telefonla_dagilan,0.662
stu_0015,LGS,13-14,mixed,telefonla_dagilan,0.651
stu_0016,LGS,15-17,morning,telefonla_dagilan,0.617
stu_0017,LGS,13-14,mixed,yarida_birakan,0.641
stu_0018,LGS,13-14,evening,kaygiyla_erteleyen,0.593
stu_0019,YKS,15-17,morning,telefonla_dagilan,0.556
stu_0020,YKS,18+,morning,telefonla_dagilan,0.664
stu_0021,YKS,15-17,evening,geceye_kayan,0.52
stu_0022,YKS,15-17,mixed,telefonla_dagilan,0.545
stu_0023,LGS,13-14,mixed,telefonla_dagilan,0.769
stu_0024,YKS,15-17,morning,baslayamayan,0.709
stu_0025,YKS,15-17,evening,geceye_kayan,0.555
stu_0026,LGS,15-17,mixed,baslayamayan,0.785
stu_0027,YKS,15-17,evening,baslayamayan,0.77
stu_0028,YKS,15-17,mixed,kaygiyla_erteleyen,0.584
stu_0029,YKS,18+,evening,telefonla_dagilan,0.745
stu_0030,YKS,15-17,mixed,baslayamayan,0.668
stu_0031,LGS,13-14,evening,geceye_kayan,0.648
stu_0032,YKS,15-17,mixed,geceye_kayan,0.503
stu_0033,YKS,15-17,evening,geceye_kayan,0.575
stu_0034,YKS,15-17,morning,baslayamayan,0.712
stu_0035,YKS,15-17,evening,baslayamayan,0.672
stu_0036,LGS,13-14,mixed,baslayamayan,0.683
stu_0037,YKS,18+,morning,baslayamayan,0.559
stu_0038,LGS,13-14,evening,yarida_birakan,0.665
stu_0039,YKS,18+,evening,geceye_kayan,0.599
stu_0040,YKS,18+,morning,kaygiyla_erteleyen,0.566
stu_0041,YKS,18+,morning,yarida_birakan,0.465
stu_0042,LGS,13-14,mixed,telefonla_dagilan,0.664
stu_0043,YKS,15-17,evening,telefonla_dagilan,0.886
stu_0044,YKS,15-17,evening,telefonla_dagilan,0.686
stu_0045,YKS,15-17,evening,geceye_kayan,0.574
stu_0046,YKS,18+,evening,baslayamayan,0.676
stu_0047,LGS,13-14,evening,baslayamayan,0.775
stu_0048,LGS,15-17,morning,yarida_birakan,0.506
stu_0049,YKS,18+,morning,telefonla_dagilan,0.628
stu_0050,YKS,15-17,evening,geceye_kayan,0.535
stu_0051,LGS,13-14,evening,geceye_kayan,0.369
stu_0052,LGS,13-14,evening,geceye_kayan,0.61
stu_0053,LGS,13-14,mixed,yarida_birakan,0.626
stu_0054,YKS,18+,evening,kaygiyla_erteleyen,0.522
stu_0055,LGS,15-17,evening,yarida_birakan,0.497
stu_0056,LGS,13-14,evening,geceye_kayan,0.476
stu_0057,LGS,13-14,morning,baslayamayan,0.831
stu_0058,YKS,15-17,evening,telefonla_dagilan,0.562
stu_0059,LGS,13-14,morning,yarida_birakan,0.624
stu_0060,YKS,15-17,morning,yarida_birakan,0.607
stu_0061,YKS,18+,evening,geceye_kayan,0.474
stu_0062,LGS,13-14,mixed,baslayamayan,0.719
stu_0063,YKS,18+,evening,baslayamayan,0.737
stu_0064,LGS,13-14,evening,kaygiyla_erteleyen,0.598
stu_0065,LGS,13-14,evening,baslayamayan,0.802
stu_0066,YKS,18+,evening,baslayamayan,0.756
stu_0067,LGS,13-14,morning,telefonla_dagilan,0.6
stu_0068,YKS,18+,mixed,geceye_kayan,0.499
stu_0069,LGS,13-14,mixed,baslayamayan,0.807
stu_0070,YKS,18+,morning,baslayamayan,0.646
stu_0071,LGS,15-17,evening,telefonla_dagilan,0.539
stu_0072,YKS,18+,morning,telefonla_dagilan,0.765
stu_0073,LGS,13-14,mixed,yarida_birakan,0.521
stu_0074,LGS,15-17,evening,geceye_kayan,0.562
stu_0075,YKS,15-17,mixed,telefonla_dagilan,0.621
stu_0076,LGS,15-17,mixed,telefonla_dagilan,0.515
stu_0077,YKS,15-17,mixed,baslayamayan,0.692
stu_0078,YKS,18+,evening,baslayamayan,0.761
stu_0079,YKS,15-17,mixed,telefonla_dagilan,0.647
stu_0080,LGS,13-14,evening,telefonla_dagilan,0.537
stu_0081,YKS,15-17,mixed,yarida_birakan,0.624
stu_0082,YKS,15-17,morning,baslayamayan,0.594
stu_0083,YKS,15-17,evening,yarida_birakan,0.507
stu_0084,LGS,13-14,evening,geceye_kayan,0.606
stu_0085,YKS,15-17,mixed,telefonla_dagilan,0.62
stu_0086,LGS,13-14,mixed,telefonla_dagilan,0.549
stu_0087,YKS,15-17,morning,baslayamayan,0.668
stu_0088,YKS,15-17,mixed,yarida_birakan,0.585
stu_0089,LGS,13-14,morning,baslayamayan,0.691
stu_0090,YKS,18+,mixed,telefonla_dagilan,0.502
stu_0091,YKS,18+,mixed,telefonla_dagilan,0.885
stu_0092,LGS,15-17,evening,geceye_kayan,0.59
stu_0093,YKS,18+,mixed,telefonla_dagilan,0.625
stu_0094,LGS,15-17,evening,geceye_kayan,0.386
stu_0095,YKS,15-17,mixed,geceye_kayan,0.602
stu_0096,YKS,18+,evening,baslayamayan,0.746
stu_0097,YKS,15-17,mixed,telefonla_dagilan,0.532
stu_0098,LGS,15-17,mixed,telefonla_dagilan,0.874
stu_0099,YKS,18+,mixed,kaygiyla_erteleyen,0.499
stu_0100,YKS,18+,evening,kaygiyla_erteleyen,0.693
