survey_response_id,respondent_role,student_id,item_id,answer_code,week_no
srv_00001,student,stu_0001,q_chrono,morning,0
srv_00002,student,stu_0001,q_start_vs_persist,both,0
srv_00003,student,stu_0001,q_phone_reason,boredom,0
srv_00004,student,stu_0001,q_reward,break,0
srv_00005,student,stu_0001,q_anxiety,ask_help,0
srv_00006,parent,stu_0001,qp_strength,disciplined,0
srv_00007,parent,stu_0001,qp_hard_subject,matematik,0
srv_00008,parent,stu_0001,qp_home_routine,quiet_desk,0
srv_00009,parent,stu_0001,qp_what_works,reward,0
srv_00010,student,stu_0001,q_week_dropout_point,night,1
srv_00011,student,stu_0001,q_week_dropout_point,middle,2
srv_00012,student,stu_0002,q_chrono,mixed,0
srv_00013,student,stu_0002,q_start_vs_persist,persist_harder,0
srv_00014,student,stu_0002,q_phone_reason,boredom,0
srv_00015,student,stu_0002,q_reward,break,0
srv_00016,student,stu_0002,q_anxiety,freeze,0
srv_00017,parent,stu_0002,qp_strength,social,0
srv_00018,parent,stu_0002,qp_hard_subject,kimya,0
srv_00019,parent,stu_0002,qp_home_routine,noisy,0
srv_00020,parent,stu_0002,qp_what_works,timer,0
srv_00021,student,stu_0002,q_week_dropout_point,middle,1
srv_00022,student,stu_0002,q_week_dropout_point,phone,2
srv_00023,student,stu_0003,q_chrono,morning,0
srv_00024,student,stu_0003,q_start_vs_persist,persist_harder,0
srv_00025,student,stu_0003,q_phone_reason,social,0
srv_00026,student,stu_0003,q_reward,points,0
srv_00027,student,stu_0003,q_anxiety,ask_help,0
srv_00028,parent,stu_0003,qp_strength,disciplined,0
srv_00029,parent,stu_0003,qp_hard_subject,tarih,0
srv_00030,parent,stu_0003,qp_home_routine,noisy,0
srv_00031,parent,stu_0003,qp_what_works,short_blocks,0
srv_00032,student,stu_0003,q_week_dropout_point,night,1
srv_00033,student,stu_0003,q_week_dropout_point,middle,3
srv_00034,student,stu_0003,q_week_dropout_point,start,4
srv_00035,student,stu_0004,q_chrono,morning,0
srv_00036,student,stu_0004,q_start_vs_persist,both,0
srv_00037,student,stu_0004,q_phone_reason,video,0
srv_00038,student,stu_0004,q_reward,points,0
srv_00039,student,stu_0004,q_anxiety,rush,0
srv_00040,parent,stu_0004,qp_strength,creative,0
srv_00041,parent,stu_0004,qp_hard_subject,fen,0
srv_00042,parent,stu_0004,qp_home_routine,quiet_desk,0
srv_00043,parent,stu_0004,qp_what_works,timer,0
srv_00044,student,stu_0004,q_week_dropout_point,phone,3
srv_00045,student,stu_0005,q_chrono,mixed,0
srv_00046,student,stu_0005,q_start_vs_persist,both,0
srv_00047,student,stu_0005,q_phone_reason,message,0
srv_00048,student,stu_0005,q_reward,parent_praise,0
srv_00049,student,stu_0005,q_anxiety,freeze,0
srv_00050,parent,stu_0005,qp_strength,disciplined,0
srv_00051,parent,stu_0005,qp_hard_subject,fen,0
