student_id,week_no,risk_avg,actions_done,actions_missed,distraction_count,top_distractor_category
stu_0001,1,0.606,0,2,3,social
stu_0001,2,0.628,1,1,1,social
stu_0001,3,0.622,1,1,3,video
stu_0001,4,0.598,0,2,0,
stu_0002,1,0.622,1,1,3,game
stu_0002,2,0.672,1,1,1,game
stu_0002,3,0.664,0,2,3,social
stu_0002,4,0.674,0,2,2,social
stu_0003,1,0.449,0,2,0,
stu_0003,2,0.454,0,2,0,
stu_0003,3,0.456,1,1,0,
stu_0003,4,0.462,0,2,0,
stu_0004,1,0.521,0,2,0,
stu_0004,2,0.526,0,2,0,
stu_0004,3,0.505,0,2,0,
stu_0004,4,0.482,0,2,0,
stu_0005,1,0.654,2,0,0,
stu_0005,2,0.628,1,1,0,
stu_0005,3,0.649,1,1,0,
stu_0005,4,0.677,0,2,0,
stu_0006,1,0.419,0,2,0,
stu_0006,2,0.388,0,2,0,
stu_0006,3,0.416,0,2,0,
stu_0006,4,0.389,0,2,0,
stu_0007,1,0.598,1,1,2,social
stu_0007,2,0.598,1,1,5,social
stu_0007,3,0.628,1,1,3,other
stu_0007,4,0.598,0,2,5,social
stu_0008,1,0.819,0,2,3,social
stu_0008,2,0.775,0,2,2,game
stu_0008,3,0.815,0,2,3,game
stu_0008,4,0.788,1,1,3,video
stu_0009,1,0.793,0,2,2,game
stu_0009,2,0.79,1,1,2,game
stu_0009,3,0.778,0,2,2,game
stu_0009,4,0.811,1,1,1,video
stu_0010,1,0.719,0,2,1,social
stu_0010,2,0.734,0,2,3,social
stu_0010,3,0.737,1,1,2,video
stu_0010,4,0.728,1,1,2,game
stu_0011,1,0.589,0,2,0,
stu_0011,2,0.602,0,2,0,
stu_0011,3,0.556,0,2,0,
stu_0011,4,0.591,0,2,0,
stu_0012,1,0.764,0,2,2,other
stu_0012,2,0.763,0,2,3,social
stu_0012,3,0.83,0,2,2,video
stu_0012,4,0.776,1,1,3,social
stu_0013,1,0.847,1,1,1,video
stu_0013,2,0.797,0,2,4,video
stu_0013,3,0.824,0,2,3,social
stu_0013,4,0.827,0,2,4,social
stu_0014,1,0.641,0,2,3,game
stu_0014,2,0.691,0,2,3,social
stu_0014,3,0.649,1,1,4,video
stu_0014,4,0.674,0,2,3,social
stu_0015,1,0.673,0,2,0,
stu_0015,2,0.65,2,0,2,video
stu_0015,3,0.656,1,1,2,other
stu_0015,4,0.649,1,1,5,video
stu_0016,1,0.619,0,2,3,social
stu_0016,2,0.628,2,0,2,social
stu_0016,3,0.621,1,1,1,game
stu_0016,4,0.642,0,2,2,social
stu_0017,1,0.655,0,2,0,
stu_0017,2,0.626,0,2,0,
stu_0017,3,0.649,0,2,0,
stu_0017,4,0.615,0,2,0,
